Oasis,Versions,File Type,
7-21-1995 / Belgium / Zeebruggers Beach Festival,AUD,FLAC,
"7-22-1995 / Dublin, Ireland / Slane Castle",AUD,FLAC,
"8-22-1995 / Tokyo, Japan / Club Citta",AUD,FLAC,
"8-23-1995 / Tokyo, Japan / Liquid Room",AUD,FLAC,
"8-26-1995 / Tokyo, Japan / Garden Hall",AUD,FLAC,
"8-26-1995 / Tokyo, Japan / Garden Hall",,FLAC,
"8-28-1995 / Osaka, Japan / Imperial Hall",AUD,FLAC,
"8-29-1995 / Osaka, Japan / Imperial Hall",AUD,FLAC,
"10-2-1995 / Blackpool, England / Blackpool Empress Ballroom",SBD,FLAC,
"10-2-1995 / Lancashire, UK / Empress Ballroom *Got To Get You Into My Life",Silver CD,FLAC,
"10-5-1995 / Bournemouth, UK  / International Centre",AUD,FLAC,
"10-10-1995 / Balitimore, MD / Hammerjack's",AUD,FLAC,
"10-11-1995 / New York, NY / Roseland Ballroom (Soundcheck)",AUD,FLAC,
"10-13-1995 / Danbury, CT / Tuxedo Junctions",AUD,FLAC,
"10-14-1995 / Boston, MA / The Orpheum",FM,FLAC,
"10-19-1995 / New York, NY / The Late Show with David Letterman - VHS(2)",TV,MKV,
"10-31-1995 / Brussels, Belgium / La Luna - ANA(1) (Aiwa CM 30) (marco luciano)",AUD,FLAC,
"11-2-1995 / London, England / GLR Radio Studios (Noel Gallagher)",FM,FLAC,
"11-2-1995 / London, UK - GLR Studios (with Interviews)",FM,FLAC,
"11-4-1995 / London, UK / Earl's Court Exhibition Centre",SBD,FLAC,
"11-4-1995 / London, UK / Earl's Court Exhibition Centre",AUD,FLAC,
"11-4/5-1995 / London, UK / Earl's Court (Soundcheck)",AUD,FLAC,
"11-5-1995 /  London, England / Earls Court",SBD,FLAC,
"11-5-1995 /  London, England / Earls Court (fradoca remaster)",SBD,FLAC,
"11-7-1995 / Paris, France / Le Zenith",AUD,FLAC,
"11-12-1995 / Cologne, Germany / Music Hall",AUD,FLAC,
"11-14-1995 / Reze, France / La Trocardière",AUD,FLAC,
"11-15-1995 / Lille, France / L'Aéronef",AUD,FLAC,
"11-20-1995 / Stockholm, Sweden / Globen Annexet",AUD,FLAC,
"11-23-1995 / Paris, France / ITW Fun Radio (Noel Gallagher) (44matsu)",FM,FLAC,
"11-26-1995 / Manchester, UK / Nymex Arena",AUD,FLAC,
"11-29-1995 / London, England / Brixton Academy (Noel solo)",AUD,FLAC,
"11-30-1995 / London, England / Brixton Academy (Noel solo)",AUD,FLAC,
"12-2-1995 / Seattle, WA / KNDD Holiday Festival",FM,FLAC,
"12-7-1995 / Baltimore, MD / WHFS Radio - Nutcracker",FM,FLAC,
"12-9-1995 / Minneapolis, MN / KEGE Holiday Festival",AUD,FLAC,
"12-9-1995 / Minneapolis, MN / KEGE Holiday Festival (johnky)",FM,FLAC,
"12-13-1995 / Toronto, Ontario / Liberty Warehouse",AUD,FLAC,
"12-15-1995 / Berkeley, CA / Berkeley Community Theater (Live 105 XMAS)",FM,FLAC,
"12-15-1995 / Berkeley, CA / Berkeley Community Theater (Live 105 XMAS)",,FLAC,
"12-16-1995 / San Jose, CA / San Jose Arena - KOME Xmas",AUD,FLAC,
"12-18-1995 / Los Angeles, CA / KROQ Holiday Festival",FM,FLAC,
,,,
[1996],,,
"1-10-1996 / Utrecht, NL / Vredenburg Music Centre",AUD,FLAC,
"1-10-1996 / Utrecht, NL / Vredenburg Music Centre",FM,FLAC,
"1-14-1996 / Berlin, Germany / Huxley's",AUD,FLAC,
"1-15-1996 / Bielefeld, Germany / PC 69",AUD,FLAC,
"2-24-1996 / St. Louis, MO / American Theater",AUD,FLAC,
"2-26-1996 / Minneapolis, MN / Orpheum Theater",AUD,FLAC,
"3-1-1996 / Milwaukee, WI / Eagle's Auditorium",AUD,FLAC,
"3-3-1996 / Detroit, MI / State Theater",AUD,FLAC,
"3-5-1996 / Indianapolis, IN / Egyptian Room",AUD,FLAC,
"3-7-1996 / Fairfax, VA / Patriot Center - Rolling Stone's ""Live from the Pit""",SBD,FLAC,
"3-7-1996 / Fairfax, VA / Patriot Center - Rolling Stone's ""Live from the Pit"" Radio Promo",SBD,FLAC,
"3-9-1996 / Philadelphia, PA / Tower Theater - DAT(M) (AT831) (fortylicks)",AUD,FLAC,
"3-10-1996 / Providence, RI / The Strand Theater",AUD,FLAC,
"3-13-1996 / New York, NY / Paramount Theater",AUD,FLAC,
"3-18-1996 / Cardiff, Wales / Cardiff International Arena",SBD,FLAC,
"3-19-1996 / Cardiff, Wales / Cardiff International Arena",SBD,FLAC,
"3-19-1996 / Cardiff, Wales / Cardiff International Arena (2020 james remaster)",SBD,FLAC,
"3-22-1996 / Dublin, Ireland / Point Depot",AUD,FLAC,
"3-23-1996 / Dublin, Ireland / Point Depot",Silver CD,FLAC,
"3-24-1996 / Offenbach, Germany / Stadhalle",AUD,FLAC,
"3-26-1996 / Offenbach, Germany / Stadhalle",AUD,FLAC,
"3-27-1996 / Munchen, Germany / Terminal 1",AUD,FLAC,
"3-29-1996 / Milan, Italy / Piazza Stuparich",AUD,FLAC,
"4-2-1996 / Barcelona, Spain / Zeleste",AUD,FLAC,
"4-11-1996 / Seattle, WA / Mercer Arena",AUD,FLAC,
"4-13-1996 / San Francisco, CA / Bill Graham Civic Auditorium",AUD,FLAC,
"4-20-1996 / Dallas, TX / Bronco Bowl",AUD,FLAC,
"4-21-1996 / Austin, TX / Austin Music Hall",AUD,FLAC,
"4-27-1996 / Manchester, England / Maine Road",Silver CD,FLAC,
"4-28-1996 / Manchester, England / Maine Road *Maine Road 2nd Night",Silver CD,FLAC,
"8-XX-1996 / England, UK / Knebworth Park",FM,FLAC,
"8-4-1996 /  Loch Lomand, Scotland / Balloch Country Park *People's Band 1996 *MD09/AB)",Silver CD,FLAC,
"8-7-1996 / Stockholm, Sweden / Sjohistoriska Museet",AUD,FLAC,
"8-10-1996 / Stevenage, England / Knebworth Park *Welcome to Planet Earth (2CD)",Silver CD,FLAC,
"8-10-1996 / Stevenage, England / Knebworth Park (DAT)",AUD,FLAC,
"8-11-1996 / England / Knebworth Park *250,000 Oasis Fans Can't Be Wrong",Silver CD,FLAC,
"8-14-1996 / Cork, Ireland / Pairc Ui Chaoimh",AUD,FLAC,
"8-14-1996 / Cork, Ireland / Pairc Ui Chaoimh",AUD,FLAC,
"8-15-1996 / Cork, Ireland / Pairc Ui Chaoimh (derek carroll)",AUD,DVD,
"8-18-1996 / Chelmsford, England / Hylands Park - V96",SBD,MP3,
"8-23-1996 / London, England / Royal Festival Hall *MTV Unplugged ",SBD,FLAC,
"8-27-1996 / Chicago, IL / Rosemont Horizon",AUD,FLAC,
"8-31-1996 / Toronto, Ontario / Molson Park",AUD,FLAC,
"8-31-1996 / Toronto, Ontario / Molson Park (2020 james remaster)",AUD,FLAC,
"9-2-1996 / Philadelphia, PA / CoreStates Spectrum",AUD,FLAC,
"9-6-1996 / Worcester, MA / The Centrum",AUD,FLAC,
"9-7-1996 / Wantagh, NY / Jones Beach Amphitheatre",AUD,FLAC,
"9-8-1996 / Wantagh, NY / Jones Beach Amphitheatre",AUD,FLAC,
,,,
[1997],,,
"6-7-1997 / Randall's Island, New York / Downing Stadium - Free Tibet Concert",AUD,FLAC,
"6-14-1997 / Irvine Meadows, CA / Irvine Meadows Amphitheatre / KROQ Weenie Roast ",SBD,FLAC,
"6-18-1997 / Oakland, CA / Oakland Coliseum",AUD,FLAC,
"6-19-1997a / Oakland, CA / Oakland Coliseum (Soundcheck)",AUD,MP3,
"6-19-1997 / Oakland, CA / Oakland Coliseum",AUD,FLAC,
"9-8-1997 / Oslo, Norway / Spektrum (remaster)",AUD,FLAC,
"9-9-1997 / Stockholm, Sweden / Globe Arena",AUD,FLAC,
"9-10-1997 / Copenhagen, Denmark / Forum",AUD,FLAC,
"9-14-1997 / Exeter, UK / Westpoint Arena",AUD,FLAC,
"9-16-1997 / Newcastle, England / Arena",AUD,FLAC,
"9-16-1997 / Newcastle, England / Arena",,FLAC,
"9-17-1997 / Newcastle, England / Arena",AUD,FLAC,
"9-22-1997 / Sheffield, UK / Arena",AUD,FLAC,
"9-23-1997 / Sheffield, UK / Arena",AUD,FLAC,
"9-23-1997 / Sheffield, UK / Arena (james remaster)",MTX,FLAC,
"9-25-1997 / London, UK / Earl's Court Exhibition Centre",AUD,FLAC,
"9-25-1997 / London, UK / Earl's Court Exhibition Center (1st Night) - DAT(x)",AUD,FLAC,
"9-26-1997 / London, UK / Earl's Court Exhibition Centre",AUD,FLAC,
"9-27-1997 / London, UK / Earl's Court Exhibition Centre",AUD,FLAC,
"9-27-1997 / London, UK / Earl's Court Exhibition Centre",,FLAC,
"9-27-1997 / London, UK / Earls Court Exhibition Centre (Complete) (unk)",AUD,FLAC,
"9-29-1997 / Birmingham, UK / National Indoor Arena *Fancy A Shag?",AUD,FLAC,
"9-30-1997 / Birmingham, UK / National Indoor Arena",AUD,FLAC,
"10-7-1997 / New York, NY / Hammerstein Ballroom",AUD,FLAC,
"10-8-1997 / New York, NY / Hammerstein Ballroom",FM,FLAC,
"10-8-1997 / New York, NY / Hammerstein Ballroom - Super Golden Radio Shows (Rare Radio Promo)",Silver CD,FLAC,
"11-3-1997 / Lille, France / Zenith",AUD,FLAC,
"11-3-1997 / Lille, France / Zenith",AUD,DVD,
"11-8-1997 / Zaragoza, Spain / Pabellon Principe Felipe",AUD,FLAC,
"11-10-1997 / Madrid, Spain / Palacio de la Comunidad",AUD,FLAC,
"11-15-1997 / Bologna, Italy / Palasport",AUD,FLAC,
"11-16-1997 / Milan, Italy / Forum Assago *Be Live Now",Silver CD,FLAC,
"11-17-1997 / Milan, Italy / Forum Assago *Be Live Now (remaster)",Silver CD,FLAC,
"11-19-1997 / Munich, Germany / Olympichalle",FM/AUD,FLAC,
"11-22-1997 / Berlin, Germany / Deutcshlandhalle",AUD,FLAC,
"11-24-1997 / Hannover, Germany / Messehalle",AUD,FLAC,
"11-25-1997 / Frankfurt, Germany / Festhalle",AUD,FLAC,
"11-27-1997 / Hertogenbosch, NLD / Brabanthallen",SBD,FLAC,
"11-28-1997 / Oberhausen, Germany / Arena",AUD,FLAC,
"12-3-1997 / Dublin, Ireland / The Point Depot",AUD,FLAC,
"12-4-1997 / Dublin, Ireland / The Point Depot",AUD,FLAC,
"12-4-1997 / Dublin, Ireland / The Point Depot",AUD,DVD,
"12-5-1997 / Dublin, Ireland / The Point Depot",FM,FLAC,
"12-7-1997 / Glasgow, Scotland / SECC",AUD,FLAC,
"12-8-1997 / Glasgow, Scotland / SECC",AUD,FLAC,
"12-10-1997 / Cardiff, Wales / Indoor Arena",AUD,FLAC,
"12-11-1997 / Cardiff, Wales / Indoor Arena",AUD,FLAC,
"12-13-1997 / Manchester, UK / G-Mex",SBD,FLAC,
"12-14-1997 / Manchester, UK / GMEX Festival",FM,FLAC,
"12-16-1997 / London, England / Wembley Arena",AUD,FLAC,
"12-17-1997 / London, England / Wembley Arena",AUD,FLAC,
,,,
[1998],,,
"1-8-1998 / Philadelphia, PA / Sony E Center",AUD,FLAC,
"1-9-1998 / Fairfax, VA / GMU Patriot Center",AUD,FLAC,
"1-10-1998 / Pittsburgh, PA / Palumbo Center",SBD,FLAC,
"1-12-1998a / East Rutherford, NJ / Continental Airlines Arena (Soundcheck)",AUD,FLAC,
"1-12-1998 / East Rutherford, NJ / Continental Airlines Arena",AUD,FLAC,
"1-15-1998 / Toronto, Canada / Maple Leaf Gardens",AUD,FLAC,
"1-17-1998 / Chicago, IL / Rosemont Horizon",preFM,FLAC,
"1-17-1998 / Chicago, IL / Rosemont Horizon (remaster)",,FLAC,
"1-17-1998 / Chicago, IL / Rosemont Horizon",MTX,FLAC,
"1-17-1998 / Chicago, IL / Rosemont Horizon",,DVD,
"1-18-1998 / Minneapolis, MN / Northrop Auditorium",AUD,FLAC,
"1-24-1998 / Seattle, WA / Seattle Center",AUD #1,FLAC,
"1-24-1998 / Seattle, WA / Seattle Center",AUD #2,FLAC,
"1-26-1998 / San Francisco, CA / Bill Graham Civic Auditorium",AUD #1,FLAC,
"1-26-1998 / San Francisco, CA / Bill Graham Civic Auditorium",AUD #2,FLAC,
"1-26-1998 / San Francisco, CA / Bill Graham Civic Auditorium",AUD #3,FLAC,
"1-27-1998 / Universal City, CA / Universal Amphitheatre (unk) (brian fredkin)",AUD,FLAC,
"1-27-1998 / Universal City, CA / Universal Amphitheatre (Sony D8) (ijwthstd)",AUD,FLAC,
"1-28-1998 / Santa Monica, CA / King's Head Pub",FM,FLAC,
"1-28-1998 / Los Angeles, CA / Universal Amphitheater",AUD #1,FLAC,
"1-28-1998 / Los Angeles, CA / Universal Amphitheater",AUD #2,FLAC,
"1-31-1998 / Dallas, TX / Bronco Bowl",AUD,FLAC,
"2-1-1998 / Houston, TX / Theater at Bayou Place",AUD,FLAC,
"2-5-1998 / West Palm Beach, FL / WPB Auditorium",AUD,FLAC,
"2-6-1998 / Orlando, FL / UCF Arena",AUD,FLAC,
"2-8-1998 / Atlanta, GA / Fox Theater",AUD,FLAC,
"2-18-1998 / Tokyo, Japan / Budokan Arena",AUD,FLAC,
"2-19-1998 / Tokyo, Japan / Budokan Arena",AUD,FLAC,
"2-20-1998 / Tokyo, Japan / Budokan *The Boys Are Back In Town",Silver CD,FLAC,
"2-22-1998 / Hong Kong, HKCEC Hall",AUD,FLAC,
"2-28-1998 / Adelaide, Australia / Entertainment Centre",AUD,FLAC,
"3-3-1998 /  Sydney, AUS / Entertainment Center *The Sydney Smash (inc)",AUD,FLAC,
"3-3-1998 / Sydney, Australia / Entertainment Centre",AUD,FLAC,
"3-10-1998 / Wellington, NZ / Queens Warf Event Center",AUD,FLAC,
"3-10-1998 / Wellington, NZ / Queens Wharf Events Centre *Wellington Walk Off ",AUD,FLAC,
3-14-1998 / Chile / Apoquindo Stadium,FM,FLAC,
"3-18-1998 / Buenos Aires, Argentina / Luna Park",SBD,FLAC,
"3-18-1998 / Buenos Aires, Argentina / Luna Park",PRO,DVD,
"3-20-1998 / Rio de Janeiro, Brazil / Metropolitan",FM,FLAC,
"3-21-1998 / Sao Paulo, Brazil / Polo De Arte e Cultura Do Anhembi",FM,FLAC,
"3-21-1998 / Sao Paulo, Brazil / Arena Skol Anhembi (james 2020 Remaster & Remix)",preFM,FLAC,
"7-6-1998 / Wolverhampton, England  / Civic Hall",AUD,APE,
"7-28-1998 / Edinburgh, Scotland  / Playhouse",AUD,FLAC,
"7-29-1998 / Newcastle, UK / City Hall",AUD,FLAC,
"7-30-1998 / Carlisle, UK / The Sands Center",AUD,FLAC,
"8-4-1998 / Nottingham, UK / Royal Centre",AUD,FLAC,
"8-6-1998 / Newport, Wales / Centre",AUD,FLAC,
"10-28-1998 / London, UK / Top of the Pops Special",TV,DVD,
"12-11-1998 / London, UK / Brixton Academy",AUD,FLAC,
,,,
[1999],,,
"12-3-1999 / Philadelphia, PA / First Union Center",SBD,FLAC,
"12-4-1999 / Chicago, IL / Rosemont Allstate Arena",AUD,FLAC,
"12-5-1999 / Detroit, MI / Cobo Arena",AUD,FLAC,
"12-11-1999 / Anaheim, CA / The Pond",SBD,FLAC,
"12-17-1999 / Toronto, Ontario / CBC Radio Session ",FM,FLAC,
,,,
[2000],,,
"2-XX-2000 / London, UK / Evening Session - Radio 1",FM,FLAC,
2-11-2000 / Later with Jools Holland / Profiting off the Shoulders of Giants,SBD,FLAC,
2-11-2000 / Later with Jools Holland / Channel V Broadcast,TV,DVD,
"2-26-2000 / Toronto, Ontario / CBC Radio Studios",FM,FLAC,
"2-29-2000 / Tokyo, Japan / Yokohama Arena *Newborn A Precursor (FLBB009/10)",Silver CD,FLAC,
"2-29-2000 / Tokyo, Japan / Yokohama Arena (remaster)",AUD,FLAC,
"3-1-2000 / Nagoya, Japan / Rainbow Hall",AUD #1,FLAC,
"3-1-2000 / Nagoya, Japan / Rainbow Hall",AUD #2,FLAC,
"3-3-2000 / Fukuoka, Japan / Marine Messe",AUD,FLAC,
"3-5-2000 / Tokyo, Japan / Yokohama Arena",FM,FLAC,
"3-5-2000 / Tokyo, Japan / Yokohama Arena",TV,FLAC,
"3-5-2000 / Tokyo, Japan / Yokohama Arena",PRO,DVD,
"3-6-2000 / Tokyo, Japan / Yokohama Arena",AUD,FLAC,
"3-7-2000 / Tokyo, Japan / Yokohama Arena",AUD,FLAC,
"3-9-2000 / Osake, Japan / Castle Hall *Standing All Over",AUD,FLAC,
"3-9-2000 / Osake, Japan / Castle Hall *Standing All Over",Silver CD,FLAC,
"3-11-2000 / Kobe, Japan / World Hall",AUD,FLAC,
"3-12-2000 / Kobe, Japan / World Hall",AUD,FLAC,
"3-12-2000 / Kobe, Japan / Kinen Hall - Sunday Evening Call (johnky)",AUD,FLAC,
"3-14-2000 / Hiroshima, Japan / Green Hall *Live Get It Together",AUD,FLAC,
"3-14-2000 / Hiroshima, Japan / Green Hall *Live Get It Together (ANACONDA 039/040)",Silver CD,FLAC,
"3-16-2000 / Sendai, Japan / Army Hall",AUD,FLAC,
"3-21-2000 / Paris, France / Bataclan *I Can See A Rock 'N' Roll Star",AUD,FLAC,
"3-23-2000 / Brussels, Belgium / Ancienne Belgique",TV,FLAC,
"3-23-2000 / Brussels, Belgium / Ancienne Belgique",FM #1,FLAC,
"3-23-2000 / Brussels, Belgium / Ancienne Belgique",FM #3,FLAC,
"3-25-2000 / Cologne, Germany / E-Werk *Where Did It All Go Wrong",FM,FLAC,
"3-25-2000 / Cologne, Germany / E-Werk *Where Did It All Go Wrong",TV,FLAC,
"3-25-2000 / Cologne, Germany / E-Werk *Where Did It All Go Wrong",AUD,FLAC,
"4-1-2000 / London, UK / Later with Jools Holland",TV,DVD,
"4-5-2000 / Seattle, WA / Paramount Theater",AUD,FLAC,
"4-6-2000 / Portland, OR / Schnitzer Auditorium",AUD,FLAC,
"4-8-2000 / San Francisco, CA / Berkeley Community Theatre",AUD,FLAC,
"4-9-2000 / Los Angeles, CA / Universal Amphitheater",AUD,FLAC,
"4-13-2000 / Denver, CO / Auditorium Theater",AUD,FLAC,
"4-15-2000 / Minneapolis, MN / State Theater",AUD,FLAC,
"4-16-2000 / Milwaukee, WI / Riverside Theater",AUD,FLAC,
"4-18-2000 / Chicago, IL / Chicago Theater",AUD,FLAC,
"4-18-2000 / Chicago, IL / Chicago Theater - MD(M) (MarcSounds) (lowlight10) ",AUD,FLAC,
"4-19-2000 / Detroit, MI / State Theater",AUD,FLAC,
"4-21-2000 / Akron, OH / EJ Thomas Hall",AUD,FLAC,
"4-22-2000 / Indianapolis, IN / Murat Center",AUD,FLAC,
"4-24-2000 / Columbus, OH / Palace Theater",AUD,FLAC,
"4-26-2000 / Philadelphia, PA / Tower Theatre",AUD,FLAC,
"4-27-2000 / Boston, MA / Orpheum Theater",AUD,FLAC,
"4-28-2000 / Toronto, Ontario / Much Music",SBD,FLAC,
"4-29-2000 / Toronto, Ontario / Maple Leaf Gardens",Webcast,FLAC,
"4-29-2000 / Toronto, Ontario / Maple Leaf Gardens",FM,FLAC,
"5-1-2000 / New York, NY / Radio City Music Hall",AUD #2,FLAC,
"5-1-2000 / New York, NY / Radio City Music Hall",AUD #3,FLAC,
"5-2-2000 / New York, NY / The Late Show with David Letterman",TV,FLAC,
"5-3-2000 / Fairfax, VA / Patriot Center",AUD,FLAC,
