Pearl Jam,Versions,File Type,,
"12-31-1991 / San Francisco, CA / Cow Palace *Jam Like Hell (PJ vs Nirvana) - ANA(M) (CM-300s) (SV059)",AUD,FLAC,,
,,,,
[1992],,,,
"1-17-1992 / Seattle, WA / Moore Theater (unk)",AUD,FLAC,,
"1-17-1992 / Seattle, WA / Moore Theater (Vault #1)",SBD,FLAC HD,Official Bootleg,
"2-3-1992 / Southend, England / Espande Club - CASS(M) (cps)",AUD,FLAC,,
"2-3-1992 / Southend, England / Espande Club (unk)",AUD,FLAC,,
"2-3-1992 / London / BBC Broadcasting house, Portland Place (Late show BBC2 Rebroadcast) ",TV,FLAC,,
"2-4-1992 / London, UK / UK Newsbeat FM Radio Interview",FM,FLAC,,
"2-7-1992 / Stockholm, Sweden / Koolkat Klub - ANA(M) (Aiwa CM30) (ms)",AUD,FLAC,,
"2-7-1992 / Stockholm, Sweden / Koolkat Klub",AUD,DVD,,
"2-9-1992 / Copenhagen, Denmark / Pumpehuest - ANA(M) (ECM-909) (blg transfer)",AUD,FLAC,,
"2-9-1992 / Copenhagen, Denmark / Pumpehuest (PC62)",AUD,FLAC,,
"2-10-1992 / Paris, France / Virgin Megastore *Parisian Nights (Aiwa CM-30a) (LDB Master Series #54)",AUD,FLAC,,
"2-10-1992 / Paris, France / Virgin Megastore - First set (Marantz) (unk)",,,,
"2-11-1992 / Paris, France / La Locomotive *Parisian Nights (Aiwa CM-30a) (LDB Master Series #54)",AUD,FLAC,,
"2-11-1992 / Paris, France / La Locomotive - DAT(1) (PZM) (blg)",AUD,FLAC,,
"2-11-1992 / Paris, France / La Locomotive (Aiwa CM30) (stephane)",AUD,FLAC,,
"2-11-1992 / Paris, France / La Locomotive - ANA(M) (PZM) (blg transfer)",AUD,FLAC,,
"2-12-1992 / Amsterdam, Holland / Melkweg (unk)",preFM,FLAC,,
"2-12-1992 / Amsterdam, Holland / Melkweg (jwb remaster) (SBD Remaster Series 2012)",SBD,FLAC,,
"2-12-1992 / Amsterdam, Holland / Melkweg - VHS(2) ",AUD,DVD,,
"2-15-1992 / Spain, Madrid / Revolver - VHS(M) (inc)",TV,FLAC,,
"2-15-1992 / Spain, Madrid / Revolver - VHS(M)",PRO,DVD,,
"2-18-1992 / Milano, Italy / Sorpasso (LDB Master Series #100a)",TV,FLAC,,
"2-18-1992 / Milano, Italy / Sorpasso (Source Mix *Attenzione Boot)",MIX,FLAC,,
"2-18-1992 / Milano, Italy / Sorpasso (unk)",TV,DVD,,
"2-18-1992 / Milano, Italy / Sorpasso (metro_cubo)",AUD,DVD,,
"2-22-1992 / Newcastle, UK / Riverside (2 source mix) (5 Alive / FM)",MTX,FLAC,,
"2-22-1992 / Newcastle, UK / Riverside (low gen)",AUD,DVD,,
"2-25-1992 / Nottingham, England / Rock City (unk)",AUD,FLAC,,
"2-25-1992 / Nottingham, England / Rock City (unk) (dEQ)",AUD,FLAC,,
"2-26-1992 / Birminham, England / Edward's No. 8 (unk) (cps encode) ",AUD,FLAC,,
"2-27-1992 / Bradford, England / Queenshall - ANA(1) (tapeworm48)",AUD,FLAC,,
"2-27-1992 / Bradford, England / Queenshall (unk)",AUD,FLAC,,
"2-27-1992 / Bradford, England / Queenshall - VHS(1)",AUD,DVD,,
"2-28-1992 / London, England / Union of London University (2 source mix) (*I've Got a Feeling / *Free World)",MIX,FLAC,,
"3-1-1992 / Groningen, Holland / Vera (SV018) (unk)",AUD,FLAC,,
"3-2-1992 / Den Haag, Holland / Paard Van Troje (SV035)",SBD,FLAC,,
"3-2-1992 / Den Haag, Holland / Paard Van Troje (frontviewmirror)",AUD,DVD,,
"3-4-1992 / Utrecht, NL / Tivoli (unk)",preFM,FLAC,,
"3-4-1992 / Utrecht, NL / Tivoli (jwb remaster) (SBD Remaster Series 2012)",SBD,FLAC,,
"3-4-1992 / Utrecht, NL / Tivoli - VHS(2) (20th Anniversary Edition)",AUD,DVD,,
"3-4-1992 / Utrecht, NL / Tivoli (Soundcheck)",PRO,DVD,,
"3-5-1992 / Eindhoven, Holland / Effenaar (unk)",AUD,FLAC,,
"3-6-1992 / Rotterdam, Holland / Nighttown - VHS(2)",AUD,FLAC,,
"3-6-1992 / Rotterdam, Holland / Nighttown",AUD,DVD,,
"3-8-1992 / Cologne, Germany / Live Music Hall (unk)",AUD,FLAC,,
"3-9-1992 / Berlin, Germany / The Loft (OKM)",AUD,FLAC,,
"3-10-1992 / Hamburg, Germany / Markthalle (unk)",AUD,FLAC,,
"3-12-1992 / Frankfurt, Germany / Batschkaap - DAT(M) (SS DSM3)",AUD,FLAC,,
"3-13-1992 / Munich, Germany / Nachtwerk - VHS (blg transfer)",AUD,FLAC,,
"3-16-1992 / New York, NY / Kaufman Astoria *MTV Unplugged (Soundcheck and Show) ",SBD,FLAC,,
"3-16-1992 / New York, NY / Kaufman Astoria - MTV Unplugged Soundcheck (dgr remaster)",SBD,FLAC,,
"3-16-1992 / New York, NY / Kaufman Astoria *MTV Unplugged",TV,DVD,,
"3-16-1992 / New York, NY / Kaufman Astoria - VHS(1)",PRO,DVD,,
"3-25-1992 / Minneapolis, MN / First Avenue - CASS(x) (cps 2019 transfer)",AUD,FLAC,,
"3-27-1992 / Milwaukee, WI / Marquette University Alumni Hall - VHS(1) ",AUD,FLAC,,
"3-27-1992 / Milwaukee, WI / Marquette University Alumni Hall - VHS(1)",AUD,DVD,,
"3-28-1992 / Chicago, IL / Cabaret Metro (HD over FM)",FM ,FLAC,,
"3-28-1992 / Chicago, IL / Cabaret Metro (2 source mix - FM/CDR) (rob sierzega transfer)",MIX,FLAC,,
"3-28-1992 / Chicago, IL / Cabaret Metro",AUD,DVD,,
"4-4-1992 / Toronto, Ontario / Concert Hall - ANA(M) (cps) (blg transfer)",AUD,FLAC,,
"4-4-1992 / Toronto, Ontario / Concert Hall (unk)",AUD,FLAC,,
"4-6-1992 / Lowell, MA / Cumnock Hall (unk)",AUD,FLAC,,
"4-7-1992 / Amherst, MA / Student Union Ballroom at UMASS (ECM-909) (perfectrx)",AUD,FLAC,,
"4-8-1992 / Boston, MA / WBCN-FM Interview",FM,FLAC,,
"4-8-1992 / Boston, MA / Axis Club (unk)",AUD,FLAC,,
"4-10-1992 / Philadelphia, PA / Trocadero Club (dEQ)",AUD,FLAC,,
"4-10-1992 / Philadelphia, PA / Trocadero Club",AUD,DVD,,
"4-11-1992 / New York, NY / NBC New York Studios *Saturday Night Live (sullen)",TV,FLAC,,
"4-12-1992 / New York, NY / Limelight - DAT(c) (AKG 451) (cps)",AUD,FLAC,,
"4-12-1992 / New York, NY / Limelight - ANA(1)  (Sony PC-62) (mike ziegler)",AUD,FLAC,,
"4-12-1992 / New York, NY / Limelight - VHS(1)",AUD,DVD,,
"4-13-1992 / College Park, MD / Ritchie Coliseum - University of Maryland - VID(M) (blg transfer)",AUD,FLAC,,
"4-13-1992 / College Park, MD / Ritchie Coliseum - University of Maryland",AUD,DVD,,
"4-19-1992 / Dallas, TX / Starplex Amphitheater (Edgefest) (unk)",AUD,MP3,,
"4-20-1992 / New Orleans, LA / Tipitina's *New Orleans '92 (speed corrected)",AUD,FLAC,,
"4-23-1992 / Miami, FL / Cameo Theater (unk)",AUD,MP3,,
"4-23-1992 / Miami, FL / Cameo Theater - VHS(2)",AUD,DVD,,
"4-30-1992 / Houston, TX / The Unicorn (Sony CCD-TR7)",AUD,FLAC,,
"4-30-1992 / Houston, TX / The Unicorn (unk)",AUD,MP3,,
4-XX-1992 / Off The Record Special / Westwood One #92-18,FM,FLAC,,
"5-2-1992 / Lawrence, KS / University of Kansas *Day On The Hill - DVDR (morrissey transfer)",AUD,FLAC,,
"5-2-1992 / Lawrence, KS / University of Kansas",AUD,DVD,,
"5-3-1992 / Omaha, NE / Ranch Bowl (PZM) (blg)",AUD,FLAC,,
"5-5-1992 / Boulder, CO / Glenn Miller Ballroom, University of Colorado - DAT(M) (AKG C460b) (SV066) (blg transfer)",AUD,FLAC,,
"5-7-1992 / Bozeman, MT / Gallitan Fairgrounds (unk)",AUD,MP3,,
"5-11-1992 / Los Angeles, CA / KLOS Studios - Rockline Interview",FM,MP3,,
"5-12-1992 / Ventura, CA / Ventura Theater (Sony Stereo Walkman)",AUD,FLAC,,
"5-13-1992 / Hollywood, CA / The Palladium - Hi8(1) (dcl transfer)",AUD,FLAC,,
"5-13-1992 / Hollywood, CA / The Palladium - Hi8(1)",AUD,DVD,,
"5-15-1992 / San Francisco, CA / Warfield Theatre (SS) (blg transfer)",AUD,FLAC,,
"5-15-1992 / San Francisco, CA / Warfield Theatre - 8MM(M) (mdvidguy)",AUD,DVD,,
"5-17-1992 / Portland, OR / Roseland Theater - ANA(1) (SS) (cps encode)",AUD,FLAC,,
"5-20-1992 / Seattle, WA / Gas Works Park",AUD,DVD,,
"6-5-1992 / Adenau, Germany / Nurburgring Festival - Rock am Ring (Sony ECM-929) (pgp)",AUD,FLAC,,
"6-5-1992 / Adenau, Germany / Nurburgring Festival - Rock am Ring (unk)",AUD,FLAC,,
"6-5-1992 / Adenau, Germany / Nurburgring Festival - Rock am Ring",AUD,DVD,,
"6-6-1992 / London, UK / Finnsbury Park Festival (preFM WW1 R2R(M) (trichrome transfer)",preFM,FLAC 24,,
"6-6-1992 / London, UK / Finnsbury Park Festival (JWB Soundboard Remaster)",preFM,FLAC,,
"6-6-1992 / London, UK / Finnsbury Park Festival (SV002) *The Haunted Finsbury",preFM,FLAC,,
"6-6-1992 / London, England / Finsbury Park (1st gen)",AUD,DVD,,
"6-8-1992 / Landgraaf, Netherlands / Pinkpop Festival (FM+TV Broadcast)",FM,FLAC,,
"6-8-1992 / Landgraaf, Netherlands / Pinkpop Festival (johnky transfer)",PRO,DVD,,
"6-10-1992 / Stuttgart, Germany / Kongresszentrum *Too Many Faces",AUD,FLAC,,
"6-11-1992 / Hamburg, Germany / Grosse Freiheit 36 (unk)",AUD,FLAC,,
"6-11-1992 / Hamburg, Germany / Grosse Freiheit 36 - ANA(1) (tapeworm48 transfer)",AUD (48k),FLAC,,
"6-13-1992 / Berlin, Germany / Go Bang Festival: Wuhlheide (OKM)",AUD,FLAC,,
"6-15-1992 / Nuernberg, Germany / Serenadenhof (unk) (source mix)",AUD,FLAC,,
"6-17-1992 / Milan, Italy / Dal City Square *Untangled (SV044) (2-source mix)",AUD,FLAC,,
"6-17-1992 / Milan, Italy / Dal City Square - ANA(M) (ECM-909) (tapeworm48)",AUD,FLAC,,
"6-17-1992 / Milan, Italy / Dal City Square - VHS(2) (jahrastafari)",PRO,DVD,,
"6-18-1992 / Zurich, Switzerland / Volkhaus (pre-FM SBD + FM mix) (cps) (blg transfer) (mix v1)",preFM,FLAC,,
"6-18-1992 / Zurich, Switzerland / Volkhaus (pre-FM DAT + Five Alive Boot) (mix v2)",preFM,FLAC,,
"6-19-1992 / Vienna, Austria / Rockhaus (Sennheiser 2000) (encoded by spacedvest)",AUD,FLAC,,
"6-22-1992 / Paris, France / Elysee-Montmartre (PZM) (blg transfer)",AUD,FLAC,,
"6-22-1992 / Paris, France / Elysee-Montmartre (Aiwa CM30) (stephane)",AUD,FLAC,,
"6-25-1992 / Stockholm, Sweden / Moderna Museet / Skeppsholmen",AUD,FLAC,,
"6-26-1992 / Roskilde, Denmark / Roskilde Festival (Orange Stage) (ECM-155)",AUD,FLAC,,
"6-26-1992 / Roskilde, Denmark / Roskilde Festival (Orange Stage) (johnky)",AUD,DVD,,
"6-26-1992 / Roskilde, Denmark / Roskilde Festival - VHS(1) (havrefras)",AUD,DVD,,
"7-19-1992 / Mountain View, CA / Shoreline Amphitheater (Lollapalooza) (unk)",AUD,FLAC,,
"7-21-1992 / Vancouver, BC / UBC Thunderbird Stadium (Lollapalooza) - ANA(M) (PC-62) (cps) (inc)",AUD,FLAC,,
"7-21-1992 / Vancouver, BC / UBC Thunderbird Stadium (Lollapalooza) (Sony DM3)  (audioarchivist u remaster)",AUD,FLAC,,
"7-22-1992 / Bremerton, WA / Kitsap County Fairgrounds (Lollapalooza) - ANA(M) (SS DSM6p) (joaquim encode)",AUD,FLAC,,
"7-29-1992 / Cuyahoga Falls, OH / Blossom Music Center (unk)",AUD,FLAC,,
"8-2-1992 / Tinley Park, IL / World Music Amphitheater (Lollapalooza) (DVD audio)",AUD,FLAC,,
"8-2-1992 / Tinley Park, IL / World Music Amphitheater (Lollapalooza) - ANA(M) (Sony ECM) (tapeworm48)",AUD,FLAC,,
"8-2-1992 / Tinley Park, IL / World Music Amphitheater (Lollapalooza) - VHS(1) (2 cam mix)",AUD,DVD,,
"8-4-1992 / Saratoga Springs, NY / SPAC - ANA(x) (unk)",AUD,FLAC 24,,
"8-4-1992 / Saratoga Springs, NY / SPAC (Sony PC-62)",AUD,FLAC,,
"8-6-1992 / Landgraaf, The Netherlands / Pinkpop Festival",PRO,DVD,,
"8-7-1992 / Mansfield, MA / Great Woods - ANA(M) (Sony ECM-909) (vb)",AUD,FLAC,,
"8-7-1992 / Mansfield, MA / Great Woods (unk)",AUD,FLAC,,
"8-8-1992 / Boston, MA / Great Woods Center (Lollapalooza) (unk)",AUD,FLAC,,
"8-9-1992 / Wantaugh, NY / Jones Beach Amphitheater (Lollapalooza) (unk)",AUD,FLAC,,
"8-9-1992 / Wantaugh, NY / Jones Beach Amphitheater (Lollapalooza)",AUD,DVD,,
"8-12-1992 / Stanhope, NJ / Waterloo Village (Lollapalooza) (unk)",AUD,FLAC,,
"8-12-1992 / Stanhope, NJ / Waterloo Village (Lollapalooza) (SS DSM 6) (billydee and chuck t)",AUD,FLAC,,
"8-12-1992 / Stanhope, NJ / Waterloo Village (Lollapalooza) (unk)",AUD,FLAC,,
"8-14-1992 / Reston, VA / Lake Fairfax Park (unk)",AUD,FLAC,,
"8-14-1992 / Reston, VA / Lake Fairfax Park ",AUD,DVD,,
"8-15-1992 / Scranton, PA / Montage Mountain Performing Arts Center (unk)",AUD,MP3,,
"8-15-1992 / Scranton, PA / Montage Mountain Performing Arts Center - CASS(x) > DAT(1) (unk)",AUD,FLAC,,
"8-16-1992 / Burgettstown, PA / Star Lake Amphitheatre (unk)",AUD,FLAC,,
"8-20-1992 / Atlanta, GA / Lakewood Amphitheater (Lollapalooza) (Built-in condenser)",AUD,FLAC,,
"8-22-1992 / Miami, FL / Bicentennial Park / (Lollapalooza) *Kiss the Stone - Main Stage Sets",AUD,FLAC,,
"8-22-1992 / Miami, FL / Bicentennial Park / (Lollapalooza) (low gen VHS)",AUD,DVD,,
"8-23-1992 / Orlando, FL / Central Florida Fairgrounds (Lollapalooza) (unk)",AUD,FLAC,,
"8-23-1992 / Orlando, FL / Central Florida Fairgrounds (Lollapalooza)",AUD,DVD,,
"8-25-1992 / Charlotte, NC / Blockbuster Pavilion (Lollapalooza) (unk dEQ)",AUD,FLAC,,
"8-25-1992 / Charlotte, NC / Blockbuster Pavilion (Lollapalooza) (unk) (doodee master)",AUD,FLAC,,
"8-28-1992 / St. Paul, MN / Harriet Island (Lollapalooza) (Sony Faalt) (spacedvest encode)",AUD,FLAC,,
"8-29-1992 / East Troy, WI / Alpine Valley (Lollapalooza) (SM98)",AUD,FLAC,,
"8-29-1992 / East Troy, WI / Alpine Valley Music Theatre - Lollapalooza",AUD,DVD,,
"9-8-1992 / Phoenix, AZ / Desert Sky Pavilion - ANA(1) (PZM) (cps)",AUD,FLAC,,
"9-9-1992 / Westwood, CA / Pauley Pavilion / MTV Video Music Awards",TV,FLAC,,
"9-9-1992 / Westwood, CA / Pauley Pavilion / MTV Video Music Awards (MTV2 Rebroadcast)",TV,FLAC,,
"9-10-1992 / Los Angeles, CA / Park Plaza Hotel Ballroom / MTV Singles Premiere Party",TV,FLAC,,
"9-10-1992 / Los Angeles, CA / Park Plaza Hotel Ballroom / MTV Singles Premiere Party - VHS(M)",TV,DVD,,
"9-11-1992 / Irvine, CA / Irvine Meadows (Lollapalooza) (unk master)",AUD,FLAC,,
"9-12-1992 / Irvine, CA / Irvine Meadows (Lollapalooza) (unk) (rob sierzega transfer)",AUD,FLAC,,
"9-12-1992 / Irvine, CA / Irvine Meadows (Lollapalooza) (unk)",AUD,FLAC,,
"9-13-1992 / Irvine, CA / Irvine Meadows (Lollapalooza) (unk)",AUD,FLAC,,
"9-20-1992 / Seattle, WA / Warren G. Magnuson Park *Seattle Jammin'",AUD,FLAC,,
"9-20-1992 / Seattle, WA / Warren G. Magnuson Park (3 cam mix)",PRO,DVD,,
"9-20-1992 / Seattle, WA / Warren G. Magnuson Park - ANA(M) (Sony PC-62) (tapeworm48 transfer)",AUD,FLAC,,
"9-26-1992 / Honolulu, HI / Andrew's Amphitheater (SV062) *The Isle of Boom",SBD,FLAC,,
"9-26-1992 / Honolulu, HI / Andrew's Amphitheater (jwb remaster) ",SBD,FLAC,,
"9-27-1992 / Maui, HI / Baldwin School Gymnasium (Soundcheck) - VID(4) (blg transfer)",AUD,FLAC,,
"11-1-1992 / Mountain View, CA / Shoreline Amphitheatre / Bridge School Benefit",SBD,FLAC,,
"11-1-1992 / Mountain View, CA / Shoreline Amphitheatre / Bridge School Benefit (alvarojam)",AUD,DVD,,
"11-1-1992 / Mountain View, CA / Shoreline Amphitheatre / Bridge School Benefit (unk alternate)",AUD,DVD,,
"12-31-1992 / New York, NY / The Academy *Jam Like Hell II (SV010) (CSB)",AUD,FLAC,,
"12-31-1992 / New York, NY / The Academy - VHS(2) ",AUD,DVD,,
,,,,
[1993],,,,
"5-13-1993 / San Francisco, CA / Slim's Cafe - ANA(M) (SS DSM6) (jr)",AUD,FLAC,,
"6-26-1993 / Oslo, Norway / Sentrum Scene (unk)",AUD,FLAC,,
"6-27-1993 / Oslo, Norway / Isle of Calf Festival (ECM T-140)",AUD,FLAC,,
"6-27-1993 / Oslo, Norway / Isle of Calf Festival  - VHS(1)",AUD,DVD,,
"6-28-1993 / Stockholm, Sweden / Sjhistoriska Museet (Marantz EM8) (ms) (blg transfer)",AUD,FLAC,,
"6-28-1993 / Stockholm, Sweden / Sjhistoriska Museet (per-erik master)",AUD,FLAC,,
"6-28-1993 / Stockholm, Sweden / Sjhistoriska Museet - VHS(1) (blink eye projects)",AUD,DVD,,
"6-28-1993 / Stockholm, Sweden / Sjhistoriska Museet - VHS(1) (metallican)",AUD,DVD,,
"6-28-1993 / Stockholm, Sweden / Sjohistoriska Museet (1G) (per-erik)",AUD,FLAC,,
"6-28-1993 / Stockholm, Sweden / Sjo?historiska Museet - VHS(1) (travisbickle1963 2022 transfer) ",AMT #1,MKV,,
"6-28-1993 / Stockholm, Sweden / Sjo?historiska Museet - VHS(1) (travisbickle1963 2022 upgrade)",AMT #1,DVD,,
"6-30-1993 / Helinski, Finland / Jaahalli (ECM 144)",AUD,FLAC,,
"6-30-1993 / Helinski, Finland / Jaahalli - ANA(M) (ECM-T140) (tapeworm48)",AUD,FLAC,,
"7-2-1993 / Verona, Italy / Stadio Bentegodi (SS)",AUD,FLAC,,
"7-2-1993 / Verona, Italy / Stadio Bentegodi - DAT(c) (SS) (datfly)",AUD,FLAC,,
"7-3-1993 / Verona, Italy / Stadio Bentegodi - DAT(c) (Sonic Studios) (datfly)",AUD,FLAC,,
"7-3-1993 / Verona, Italy / Stadio Bentegodi (SS)",AUD,FLAC,,
"7-3-1993 / Verona, Italy / Stadio Bentegodi",AUD,DVD,,
"7-6-1993 / Rome, Italy / Stadio Flaminio - CASS(M) (Sony ECM-909) (jr)",AUD,FLAC,,
"7-7-1993 / Rome, Italy / Stadio Flaminio - CASS(M) (Sony ECM-909) (jr)",AUD,FLAC,,
"7-7-1993 / Rome, Italy / Stadio Flaminio - VHS(1) (travisbickle1963 transfer)",AMT #1,MKV,,
"7-10-1993 / Dublin, Ireland / Slane Castle (unk)",AUD,FLAC,,
"7-11-1993 / London, England / Finsbury Park (ECM-909)",AUD,FLAC,,
"7-11-1993 / London, England / Finsbury Park - DAT(M) (MKE4060)",AUD,FLAC,,
"7-11-1993 / London, England / Finsbury Park - VHS(1)",AUD,DVD,,
"7-13-1993 / London, England / Brixton Academy - ANA(M) (ECM-909) (tapeworm48)",AUD,FLAC,,
"7-13-1993 / London, England / Brixton Academy (unk) ",AUD,FLAC,,
"7-13-1993 / London, England / Brixton Academy (Sony WMD3) (kk master)",AUD,FLAC,,
"7-13-1993 / London, England / Brixton Academy ",AUD,DVD,,
"7-14-1993 / London, England / Brixton Academy - ANA(M) (ECM-909) (tapeworm48)",AUD,FLAC,,
"7-16-1993 / Rotterdam, NL / Sportspaleis Ahoy *Against (KTS-221)",Silver CD,FLAC,,
"7-16-1993 / Rotterdam, NL / Sportspaleis Ahoy (Dutch VPRO - Villa 65 Broadcast) (magnix)",FM,FLAC,,
"7-16-1993 / Rotterdam, NL / Sportspaleis Ahoy - ANA(1) (Sony WM-D6) (tapeworm48 transfer)",AUD (48k),FLAC,,
"7-16.17-1993 / Rotterdam, NL / Sportspaleis Ahoy ",FM,FLAC,,
"7-16.17-1993 / Rotterdam, NL / Sportspaleis Ahoy (jwb remaster) (SBD Remaster Series 2012)",SBD,FLAC,,
"7-17-1993 / Rotterdam, Holland / Sportspaleis Ahoy (unk) (king_ganesha transfer)",AUD,FLAC,,
"7-17-1993 / Rotterdam, Holland / Sportspaleis Ahoy - ANA(1) (Sony WM-D6) (tapeworm48 transfer)",AUD (48k),FLAC,,
