 ,Versions,File Type
"3-29-1994 / Minneapolis, MN / First Avenue *Endless Headtrip",AUD #1,FLAC
"4-5-1994 / Seattle, WA / Oz",AMT #1a,MP3
"4-5-1994 / Seattle, WA / Oz",AMT #1b,DVD
"4-18-1994 / Portland, OR / The Satyricon *Boring Days in Paradise",Silver CD,FLAC
5-3-1994 / Netherlands - Toaster Radio [Interview],FM,FLAC
"6-XX-1994 / New York, NY / Ed Sullivan Theater - Late Night with David Letterman",PRO #1,MPG
"6-XX-1994 / New York, NY / Ed Sullivan Theater - Late Night with David Letterman",PRO #1,FLAC
"6-5-1994 / Barcelona, Spain / The Garage (krw_co)",preFM,FLAC
"6-6-1994a / London, UK / BBC Studios - Maida Vale Studios",SBD #1,FLAC
"6-6-1994 / London, UK / Astoria II",PRO #1,DVD
"6-7-1994 / Leeds, England / Duchess of York",AMT #1,DVD
"6-10-1994 / Mountain View, CA / Shoreline Amphitheater / Live 105's Big Friggin' Deal 1994",SBD #1,FLAC
"7-5-1994 / San Francisco, CA / Slim's",AUD #1,FLAC
"7-14-1994 / Omaha, NE / Ranch Bowl",AUD #1,FLAC
"7-28-1994 / Pittsburgh, PA / Graffiti Showcase",AUD #1,FLAC
"7-29-1994 / Buffalo, NY / Blind Mellon's",AUD #1,FLAC
"8-5-1994 / New York, NY / Downing Stadium",AUD,FLAC
"8-14-1994 / Saugerties, NY / Woodstock 94 *Burn Out!",FM,FLAC
"8-18-1994 / Barcelona, Spain / The Garage *From Mars Speedway To You",Silver CD,FLAC
"8-20-1994 / Dallas, TX / Starplex Amphitheatre (smores)",AUD,FLAC
"8-21-1994 / Dallas, TX / Starplex Amphitheatre (smores)",AUD,FLAC
"8-25-1994 / San Diego, CA / SDSU Aztec Bowl (Lollapalooza)",PRO #1,AVI
"8-27-1994 / Mountain View, CA / Shoreline Amphitheatre (smores)",AUD,FLAC
"9-4-1994 / Carson, CA / Dominguez Hills (Lollapalooza) (smores)",AUD,FLAC
"9-5-1994 / Carson, CA / Olympic Velodrome (Lollapalooza)",AUD #1,FLAC
"9-5-1994 / Carson, CA / Olympic Velodrome (Lollapalooza)",PRO #1,MP4
"9-8-1994 / New York, NY / MTV Video Music Awards",PRO #1,AVI
"9-9-1994 / Boston, MA / The Hatch Shell",AUD #1,FLAC
"9-9-1994 / Boston, MA / The Hatch Shell",AUD #2,MP3
"9-9-1994 / Boston, MA / The Hatch Shell",PRO #1b,MP4
"9-11-1994 / Seattle, WA / Seattle Center - 107.7 KNDD's End It Benefit",AUD #1,FLAC
"10-6-1994 / Copenhagen, Denmark / Christiania",AMT #1,DVD
"10-6-1994 / Copenhagen, Denmark / Christiania",AUD #1,MP3
"10-7-1994 / Lund, Sweden / Olympen",AMT #1,DVD
"10-8-1994 / Gothenburg, Sweden / Lisebergshallen",SBD #1,FLAC
"10-8-1994 / Gothenburg, Sweden / Lisebergshallen",AMT #1,DVD
10-1X-1994 / The Netherlands / Toaster Radio,FM,MP3
"10-8-1994 / Gothenburg, Sweden / Lisebergshallen",AMT #1,DVD
"10-14-1994 / Leuven, Belgium / Corso *Burnout",AUD #1,FLAC
"10-15-1994 / Paris, France / Canal + Studios - Nulle Part Allieurs",PRO #1b,MP4
"10-22-1994 / London, England / The Astoria",AUD,FLAC
"10-22-1994 / London, England / The Astoria - ANA(x) (Pitch correcred)",AUD,FLAC
"10-22-1994 / London, England / The Astoria",PRO #1,MP4
"11-1-1994 / Phoenix, AZ / Arizona Veterans Memorial Coliseum - VHS(1)",AMT #1,DVD
11-4-1994a / Westwood One Interview,FM,WAV
"11-4-1994 / Carson, CA / Olympic Velodrome, Cal State Univ - Domiguez Hills *Kiss My Green Ass",Silver CD,FLAC
"11-10-1994 / Chicago, IL / Aragon Ballroom *Spitting",Silver CD,FLAC
"11-15-1994 / Denver, CO / Mammoth Events Center",AMT #1,DVD
"11-18-1994 / Chicago, IL / Aragon Ballroom ",FM,FLAC
"11-18-1994 / Chicago, IL / Aragon Ballroom - VHS(1)",PRO #1,DVD
"11-18-1994 / Chicago, IL / Aragon Ballroom ",PRO #2a,DVD
"11-18-1994 / Chicago, IL / Aragon Ballroom ",PRO #3,MP4
"11-28-1994 / Amherst, MA / U-Mass Mullins Center",AUD #1,FLAC
"11-30-1994 / Montreal, Canada / Verdun Auditorium *More Boring Days",Silver CD,FLAC
"11-30-1994 / Montreal, Canada / Verdun Auditorium (stevemtl)",AUD,FLAC
"12-2-1994 / Uniondale, NY / Nassau Coliseum",AUD,FLAC
"12-2-1994 / Uniondale, NY / Nassau Coliseum",AMT #1,DVD
"12-2-1994 / Uniondale, NY / Nassau Coliseum (multi-cam mix)",AUD,MP4
"12-3-1994 / New York, NY / NBC Studios (CLIP)",TV,TS
"12-3-1994 / New York, NY / Saturday Night Live - Studio 8 - Rockefeller Center",PRO #1,DVD
"12-3-1994 / New York, NY / Saturday Night Live - Studio 8 - Rockefeller Center",PRO #2 ,MPG
"12-5-1994 / New York, NY / Madison Square Garden",AMT #1,DVD
"12-5-1994 / New York, NY / Madison Square Garden",AMT #2,DVD
"12-5-1994 / New York, NY / Madison Square Garden",AMT #3,DVD
,,
[1995],,
"5-28-1995 / Oakland, CA / Henry J. Kaiser Auditorium",AUD,FLAC
"8-25-1995 / Reading, UK / Reading Festival",AUD,FLAC
"8-27-1995 / Biddinghuizen, The Netherlands / Lowlands Festival",FM,FLAC
"9-2-1995 / Stockholm, Sweden / Johanneshov ",SBD #1,FLAC
"9-2-1995 / Stockholm, Sweden / Johanneshov ",AUD #1,FLAC
"9-2-1995 / Stockholm, Sweden / Johanneshov ",AMT #1,MPG
"9-2-1995 / Stockholm, Sweden / Johanneshov ",PRO #1,MPG
"9-10-1995  / Offenbach, Germany / Stadthalle (2015 transfer)",AUD,FLAC
"9-17-1995 / Paris, France / Elysee Montmartre",AUD #1,FLAC
"9-20-1995 / Brixton, UK / Brixton Academy (Punk Academy CD)",SBD #1,FLAC
"10-17-1995 / Seattle, WA / Seattle Center (unk) (todd)",AUD #1,FLAC
"11-21-1995 / Milwaukee, WI / Mecca Arena",AUD,FLAC
,,
[1997],,
"11-11-1997 / New York, NY / Tower Records - VHS(2)",AMT #1,DVD
"11-14-1997 / Philadelphia, PA / Electric Factory (inc)",AUD,FLAC
"12-15-1997 / San Francisco, CA / The Fillmore - VHS(x)",AUD,DVD
,,
[1998],,
"XX-XX-1998 / Berkeley, CA / KALX (Billie Joe Armstrong - incomplete)",FM,FLAC
"1-31-1998 / London, England / Brixton Academy",AUD,FLAC
"2-1-1998 / London, England / Astoria - VHS(x) (unk) ",AUD,DVD
"2-3-1998 / Paris, France / Elysee Montmartre *A Day Out In Paris",SBD,FLAC
"2-19-1998 / Milan, Italy / MTV Supersonic - VHS(1)",PRO #1,MKV
"3-31-1998 / Sydney, Australia / Roundhouse (unk)",AUD,FLAC
"4-17-1998 / San Francisco, CA / Bottom of the Hill - MTV Live from the Ten Spot (Boston WBCN 104.1)",FM,FLAC
"5-31-1998 / Mansfield, MA / Great Wood Center (WBCN 104.1 FM)",FM,FLAC
"5-31-1998 / Mansfield, MA / Great Woods - River Rave (2021 transfer)",FM,FLAC
"6-20-1998 / Irvine, CA / Irvine Meadows",AUD,FLAC
"6-23-1998 / Berkeley, CA / 90.7 KALX Studios (Billie Joe Armstrong Solo)",FM,FLAC
"11-1-1998 / Buenos Aires, Argentina / Parque Sarmiento",SBD,FLAC
"11-3-1998 / Santiago, Chile / Teatro Monumental - FM-ANA(1)",FM,FLAC
,,
[1999],,
"10-31-1999 / Mountain View, CA / Shoreline Amphitheater (Bridge School Benefit XIII)",SBD,FLAC
"10-31-1999 / Mountain View, CA / Shoreline Amphitheater (Bridge School Benefit XIII) (sneaky audio bastard)",AUD,FLAC
,,
[2000],,
"9-15-2000 / London, UK / Tutu's - DAT(M) (gary watson)",SBD #1,FLAC
"9-21-2000 / Barcelona, Spain / Sala Bikini -  (+extras)",PRO,DVD
"9-30-2000 / Noblesville, IN / Deer Creek Amphitheater - X Festival",FM,FLAC
"10-5-2000 / Boston, MA / WBCN Studios",FM,FLAC
"10-6-2000 / Boston, MA / Axis (Sony MD)",AUD #1,FLAC
"10-19-2000 / Sydney, Australia / Goat Island",FM,FLAC
"12-8-2000 / London, England / Wembley Arena (unk)",AMT #1,DVD
"12-15-2000 / San Francisco, CA / Bill Graham Civic Auditorium *Not So Silent Night  (Schoeps MK5)",AUD,FLAC
,,
[2001],,
"3-23-2001 / Fukuoka, Japan / Zepp (unk)",AUD,FLAC
"4-26-2001 / New York, NY / CBGB's (Surprise Gig)",Silver CD,FLAC
"4-26-2001 / New York, NY / CBGB's (Surprise Gig) (Peace Music 001)",Silver CD,FLAC
"5-26-2001 / Foxboro, MA / Gillette Stadium",FM,FLAC
"5-26-2001 / Foxboro, MA / Foxboro Stadium (2001 WBCN River Rave) (Boston 104.1) ",FM,FLAC
"6-17-2001 / St Paul, MN / Roy Wilkins Auditorium (unk) (mark suffolk)",AMT,DVD
"8-24-2001 / Reading, England / Reading Festival - Radio 1 Live Broadcast",FM,FLAC
"11-23-2001 / New York, NY / The Late Late Show with Craig Kilborn",TV,MKV
,,
[2002],,
"7-11-2002 / Manchester, UK / Move Festival *King For A Day",Silver CD,FLAC
"7-13-2002 / Ratoath, Ireland / Fairyhouse Racecourse - Witnness Festival ",SBD,FLAC
"7-17-2002 / London, UK / Wembley Arena",AUD #1,FLAC
"7-17-2002 / London, UK / Wembley Arena (unk) (mark sullfolk)",AMT,DVD
"7-18-2002 / London, England / Wembley Arena (unk) (mark suffolk)",AMT,DVD
"11-7-2002 / Manchester, England / Lancashire Cricket Club",AUD,FLAC
,,
[2004],,
"8-7-2004 / Tokyo, Japan / Chiba Marine Stadium - Summer Sonic 2004",AUD,FLAC
"8-27-2004 / Leeds, England / Temple Newsham",FM,FLAC
"10-3-2004 / Berlin, Germany / Radio Fritz",FM,FLAC
"10-16-2004 / New Orleans, LA / Marconi Meadows - City Park",SBD,FLAC
"10-XX-2004 / Potsdam, Germany / Fritz Studios (triple_six)",FM,FLAC
"11-2-2004 / Toronto, Canada / Air Canada Centre (CSC) (burnboy)",AUD,FLAC
"11-24-2004 / San Francisco, CA / Bill Graham Civic Auditorium (Schoeps CCM4)",AUD,FLAC
,,
[2005],,
"1-10-2005 / Berlin, Germany / MTV Studios (saschaweich)",PRO,DVD
"1-15-2005 / Boeblingen, Germany / Sporthalle (OKM-IIr)",AUD,FLAC
"1-16-2005 / Milano, Italy / Filaforum (Aiwa HS-F150) (unk)",AUD,FLAC
"1-17-2005 / Milan, Italy / VH1 Super Sonic",TV,DVD
"1-26-2005 / Dublin, Ireland / The Point (davey mcneill)",FM,FLAC
"3-17-2005 / Osaka, Japan / Osaka Castle Hall *Across the Alienation",AUD,FLAC
"4-30-2005 / Amherst, MA / Mullins Arena",AUD,FLAC
"6-19-2005 / Milton Keynes, England / Milton Keynes National Bowl (Sony NET MD)",AUD #1,FLAC
"7-2-2005 / Roskilde, Denmark / Roskilde Festival - Orange Stage (CSC) (jtl)",AUD,FLAC
"7-7-2005 / Rotterdam, The Netherlands / Ahoy (Sony MD MZ-N710)",AUD,FLAC
"9-7-2005 / Philadelphia, PA / Wachovia Center - AUD(M) (MK4) (schoepsnbox) ",AUD,FLAC
"9-7-2005 / Philadelphia, PA / Wachovia Center",AUD,DVD
"9-26-2005 / Tacoma, WA / Tacoma Dome (jems master)",AUD,FLAC
"10-13-2005 / San Francisco, CA / The Warfield (Schoeps CCM4s)",AUD,FLAC
"12-17-2005 / Melbourne, Australia / Telstra Dome (Sony MZ-N10 MD)",AUD,FLAC
"12-17-2005 / Melbourne, Australia / Telstra Dome (multi-cam)",AUD,DVD
,,
[2009],,
"4-7-2009 / San Francisco, CA / The Independent (not me)",AUD,FLAC
"4-9-2009 / San Francisco, CA / DNA Lounge (not me)",AUD,FLAC
"4-14-2009 / Oakland, CA / Fox Theatre (Schoeps CMC34)",AUD #1,FLAC
"4-14-2009 / Oakland, CA / Fox Theatre (Schoeps MK4s)",AUD #2,FLAC
"4-14-2009 / Oakland, CA / Fox Theatre (Schoeps CCM4s)",AUD #3,FLAC
"4-14-2009 / Oakland, CA / Fox Theatre (inc)",SBD #2,FLAC
"5-9-2009 / Koln, Germany / E-Werk (1Live)",TV,FLAC
"5-28-2009 / Tokyo, Japan / Akasaka Blitz (D50)",SBD,FLAC
"6-5-2009 / Los Angeles, CA / KROQ - Kevin & Bean Show",FM,MP3
"6-11-2009 / Vienna, Austria / Stadthalle - Soundcheck (Edirol R-09HR) (unk) ",AUD,FLAC
"7-3-2009 / Seattle, WA / Key Arena (Nakamichi 700) (jems)",AUD,FLAC
"7-13-2009 / Chicago, IL / United Center (the govner)",AUD,FLAC
"7-15-2009 / Denver, CO / Pepsi Center (mr. bull)",AUD,FLAC
"7-16-2009 / Hamilton, Ontario / Copps Coliseum (CA-11) (krewe chief)",AUD,FLAC
"7-21-2009 / Philadelphia, PA / Spectrum (nicky c.)",AUD,FLAC
"7-22-2009 / Pittsburgh, PA / Mellon Arena (inc) (jlizard)",AUD,FLAC
"7-25-2009 / Albany, NY / Times Union Center (harry)",AUD,FLAC
"10-5-2009 / Cologne, Germany / Lanxess Arena (bury420)",AUD,FLAC
"10-7-2009 / Berlin, Germany / O2 World Arena (OKM IIr) (wb)",AUD,FLAC
"10-28-2009 / Birmingham, England / LG Arena",AUD,FLAC
"10-30-2009 / Manchester, UK / MEN Arena (pabby)",AUD,FLAC
"11-6-2009 / Vienna, Austria / Stadthalle (Edirol R-09HR)",AUD,FLAC
"11-11-2009 / Bologna, Italy / Futurshow Station (Olympus LS-10)",AUD,FLAC
"12-6-2009 / Adelaide, Australia / Adelaide Entertainment Centre",AUD,FLAC
,,
[2010],,
"6-16-2010 / Manchester, England / Lancashire County Cricket Club (pabby)",AUD,FLAC
"8-7-2010 / Chicago, IL / Grant Park (Lollapalooza) (the0ilman)",AUD #1,FLAC
"9-2-2010 / Chula Vista, CA / Cricket Amphitheater (AT943)",AUD  ,FLAC
"9-4-2010 / Mountain View, CA / Shoreline Amphitheatre (Shoeps CCM4s)",AUD,FLAC
"10-22-2010 / Buenos Aires, Argentina / Costanera Sur (DCR610-MiniDV) ",AMT #1,DVD
"10-24-2010 / Santiago, Chile / Estadio Bicentenario de la Florida",AUD,DVD
,,
[2012],,
"8-16-2012 / Tokyo, Japan / Shibuya Ax *iTokio (XAVEL-170)",SBD,FLAC
"8-18-2012 / Chiba, Japan / QVC Marine Field - Summer Sonic Festival *iCHIBA (XAVEL-171)",SBD,FLAC
8-29-2012 / Monchengladbach / Warsteiner Hockeypark (floydiandolf),AUD,FLAC
"8-30-2012 / Berlin, Germany / Wuhlheide (Northern German Radio)",FM,FLAC
,,
[2013],,
"3-28-2013 / Rosemont, IL / Allstate Arena (auger3d)",AUD,FLAC 24
"4-1-2013 / Rochester, NY / Blue Cross Arena (headbangers)",AUD,FLAC
"4-7-2013 / Brooklyn, NY / Barclays Center (iPhone 4)",AUD,FLAC
"4-16-2013 / Berkeley, CA / Greek Theatre (Schoeps) (anonymous)",AUD,FLAC
"4-18-2013 / Los Angeles, CA / LA Sports Arena (jb)",AUD,FLAC
"5-29-2013 / Vienna, Austria / Krieau (unk) ",AUD,FLAC
,,
[2014],,
"2-22-2014 / Brisbane, Australia / RNA Showgrounds - Soundwave Festival (doggins)",AUD,FLAC
"5-15-2014 / San Francisco, CA / The Fillmore (DPA 4061s)",AUD,FLAC
,,
[2016],,
"9-26-2016 / Columbus, OH / Newport Music Hall (live2cd)",AUD,FLAC
"10-5-2016 / New York, NY / The Howard Stern Show",TV,FLAC
"10-19-2016 / Los Angeles, CA / KROQs Red Bull Sound Space (inc)",SBD #1,FLAC
"10-19-2016 / Los Angeles, CA / KROQs Red Bull Sound Space",PRO #1,TS
"10-20-2016 / Berkeley, CA / UC Theatre (Schoeps CCM-4) (anonymous)",AUD,FLAC
"10-23-2016 / Chicago, IL / Aragon Ballroom (auger3d)",AUD,FLAC 24
,,
[2017],,
"1-16-2017 / Zurich, Switzerland / Hallenstadion (Schoeps MK6)",AUD,FLAC
"3-1-2017 / Phoenix, AZ / Talking Stick Resort Arena (unk)",AUD,FLAC
"3-4-2017 / Dallas, TX / American Airlines Center (whotapes)",AUD,FLAC
"3-5-2017 / Houston, TX / Toyota Center (red zero / smores)",AUD,FLAC
"3-7-2017 / Tulsa, OK / Bok Center (penguin)",AUD,FLAC 24
"5-5-2017 / Melbourne, Australia / Rod Laver Arena (bleedingme)",AUD,FLAC
"5-6-2017 / Melbourne, Australia / Rod Laver Arena (eckythump)",AUD,FLAC
"6-18-2017 / Budapest, Hungary / Budapest Arena (h0mer1983)",AUD,FLAC 24
"7-1-2017 / London, UK / Hyde Park (inc)",FM,FLAC
"8-11-2017 / Kansas City, MO / Sprint Center (penguin)",AUD,FLAC 24
"8-16-2017 / Noblesville, IN / Klipsch Amphitheatre",AUD #1,FLAC
,,
[2019],,
"9-10-2019 / West Hollywood, CA / Whisky a Go-Go (inc)",SBD #1,FLAC
"9-12-2019 / Los Angeles, CA / ABC Studios - Jimmy Kimmel Live!",TV,FLAC
"9-12-2019 / Los Angeles, CA / ABC Studios - Jimmy Kimmel Live!",TV,TS
"9-20-2019 / Las Vegas, NV / T-Mobile Arena - iHeart Radio Festival",PRO #1a,FLAC
"9-20-2019 / Las Vegas, NV / T-Mobile Arena - iHeart Radio Festival",PRO #1a,TS
"10-9-2019 / Los Angeles, CA / Sirius XM Studios - Howard Stern Show",SBD #1,FLAC
"10-9-2019 / Los Angeles, CA / Sirius XM Studios - Howard Stern Show",PRO #1,MP4
"10-25-2019 / Los Angeles, CA / Live House Hollywood - Kevin & Bean's LAST Breakfast (indykid)",Webcast,TS
"10-30-2019 / Madrid, Spain / Sala La Riviera",AMT #1,MP4
"11-2-2019 / Seville, Spain / Plaza de Espaoa - MTV World Stage (indykid)",Webcast,MKV
"11-25-2019 / Los Angeles, CA / Microsoft Theater (TrollHD)",TV,FLAC
"11-25-2019 / Los Angeles, CA / Microsoft Theater",TV,MKV
,,
[2020],,
"2-7-2020 / Burbank, CA / iHeartRadio Theater (Album Release Party) (LiveXLive Webcast)",Webcast,FLAC
"2-7-2020 / Burbank, CA / iHeartRadio Theater (Album Release Party) (indykid)",Webcast,TS
,,
[2021],,
"7-24-2021 / Arlington, TX / Globe Life Field (iPhone 11)",AUD,FLAC
"8-4-2021 / Flushing, NY / Citi Field (Zoom H1n) ",AUD,FLAC
"8-17-2021 / Columbus, OH / Historic Crew Stadium (iPhone 6S) (plankfan)",AUD,FLAC
"8-19-2021 / Pittsburgh, PA / PNC Park (iPhone 6S) (plankfan) ",AUD,FLAC
"8-27-2021 / San Francisco, CA / Oracle Park (CCM4) (anonymous)",AUD,FLAC
"8-27-2021 / San Francisco, CA / Oracle Park (AT853s) (tj)",AUD,FLAC
"9-3-2021 / Los Angeles, CA / Dodger Stadium (SP-CMC-4U)",AUD,FLAC
"9-3-2021 / Los Angeles, CA / Dodger Stadium (MV88s)",AUD,FLAC 24
"9-18-2021 / Las Vegas, NV / Fremont Street - Life Is Beautiful (Twitch webcast) (indykid)",Webcast,TS
,,
[2022],,
"2-12-2022 / Los Angeles, CA / Crypto.com Arena (SP-CMC-4U) (ijwthstd)",AUD,FLAC
